model,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_roc_auc_ovr_macro
gradient_boosting,0.9283333333333333,0.0050346024889977355,0.9102053427418344,0.006167575476162999,0.9225,0.9049882497199209,0.9093261059794123,0.9068484410236753,0.9927342508061626
random_forest,0.928125,0.005145453764678542,0.910111853278827,0.005109903556357147,0.93,0.9138802727950256,0.9182014826922915,0.9156305086656074,0.9924922365181901
decision_tree,0.9199999999999999,0.008675276172357088,0.8987121716817583,0.009394889998689858,0.9166666666666666,0.8966970751151594,0.9029302865861091,0.8995094568497263,0.9648966929547103
knn,0.9170833333333335,0.0052124983346653305,0.8938151997408175,0.008789315320250244,0.9158333333333334,0.8966104083738086,0.9096089057425696,0.9023120117349622,0.9881517997739959
svm_rbf,0.9116666666666667,0.005682575707077464,0.8895725912917799,0.006630965877962582,0.925,0.9113663157650029,0.9205884499160252,0.9143394920205234,0.9898779224009966
logistic_regression,0.9,0.008095566344885594,0.8730693168845539,0.010933936093024893,0.9141666666666667,0.8949601994714096,0.8940748659473473,0.8938874878588604,0.9858931590494325
